"month","year","day_type","entry_station","exit_station","avg_trips","date"
9,2013,"Weekday","19","HY",212.75,2013-09-01
9,2013,"Weekday","19","SH",151.85,2013-09-01
9,2013,"Weekday","19","UC",207.4,2013-09-01
9,2013,"Weekday","19","FM",384.65,2013-09-01
9,2013,"Weekday","19","CN",299.15,2013-09-01
9,2013,"Weekday","19","PH",337.4,2013-09-01
9,2013,"Weekday","19","WC",297.3,2013-09-01
9,2013,"Weekday","19","LF",160.8,2013-09-01
9,2013,"Weekday","19","OR",110.15,2013-09-01
9,2013,"Weekday","19","RR",196.4,2013-09-01
9,2013,"Weekday","19","OW",76.05,2013-09-01
9,2013,"Weekday","19","EM",1349.7,2013-09-01
9,2013,"Weekday","19","MT",1119.25,2013-09-01
9,2013,"Weekday","19","PL",782,2013-09-01
9,2013,"Weekday","19","CC",714,2013-09-01
9,2013,"Weekday","19","16",365.05,2013-09-01
9,2013,"Weekday","19","24",296.4,2013-09-01
9,2013,"Weekday","19","GP",142.55,2013-09-01
9,2013,"Weekday","19","BP",126.25,2013-09-01
9,2013,"Weekday","19","DC",179.6,2013-09-01
9,2013,"Weekday","19","CM",69.7,2013-09-01
9,2013,"Weekday","19","CV",90.35,2013-09-01
9,2013,"Weekday","19","ED",188,2013-09-01
9,2013,"Weekday","19","NC",172.9,2013-09-01
9,2013,"Weekday","19","WP",257.7,2013-09-01
9,2013,"Weekday","19","SS",64.6,2013-09-01
9,2013,"Weekday","19","SB",49.6,2013-09-01
9,2013,"Weekday","19","SO",89.45,2013-09-01
9,2013,"Weekday","19","MB",106.75,2013-09-01
9,2013,"Weekday","19","WD",84.25,2013-09-01
9,2013,"Weekday","12","RM",197.9,2013-09-01
9,2013,"Weekday","12","EN",639.4,2013-09-01
9,2013,"Weekday","12","EP",293.35,2013-09-01
9,2013,"Weekday","12","NB",261.25,2013-09-01
9,2013,"Weekday","12","BK",635.35,2013-09-01
9,2013,"Weekday","12","AS",271.9,2013-09-01
9,2013,"Weekday","12","MA",250.65,2013-09-01
9,2013,"Weekday","12","19",51.45,2013-09-01
9,2013,"Weekday","12","12",28.6,2013-09-01
9,2013,"Weekday","12","LM",56.65,2013-09-01
9,2013,"Weekday","12","FV",261.45,2013-09-01
9,2013,"Weekday","12","CL",404.9,2013-09-01
9,2013,"Weekday","12","SL",355.85,2013-09-01
9,2013,"Weekday","12","BF",354,2013-09-01
9,2013,"Weekday","12","HY",309.7,2013-09-01
9,2013,"Weekday","12","SH",182.35,2013-09-01
9,2013,"Weekday","12","UC",238.95,2013-09-01
